10,10010
10,10020
11,110
12,120
12,121
20,200
20,201
21,210
22,220
31,310
21,211
32,320
32,321
33,330
33,331
34,340
31,31020
31,31030
40,401
41,410
41,41020
41,41030
42,420
34,34020
34,34030
40,400
43,430
43,43020
43,43030
45,450
49,490
55,550
55,55020
45,45020
42,421
75,750
76,760
56,560
56,56020
57,570
57,57020
94,940
100,1000
100,1001
101,1010
101,1011
102,1020
102,1021
104,1040
104,1041
109,1090
119,1190
119,11920
119,11930
123,1230
123,1231
129,1290
129,12920
129,12930
136,1360
136,1361
137,1370
109,1091
170,1700
170,1701
172,1720
172,1721
201,2010
201,2011
300,3000
300,3001
301,3010
137,1371
156,1560
156,1561
333,3330
333,3331
304,3040
737,7370
737,7371
747,7470
727,7270
727,7271
777,7770
1023,10230
1023,10231
757,7570
1561,15610
1561,15611
1043,10430
1043,10431
1361,13610
1361,13611
1371,13710
1371,13711
